"path","status"
".env.example","required-template"
".gitignore","required-root-orchestration"
"Attendace_system-main/.env.local","required-local-runtime-env"
"Attendace_system-main/.gitignore","required-build-config"
"Attendace_system-main/.vercelignore","required-build-config"
"Attendace_system-main/.vscode/extensions.json","optional-editor-local"
"Attendace_system-main/.vscode/settings.json","optional-editor-local"
"Attendace_system-main/app/(dashboard)/admin/classes/[id]/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/classes/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/faculty/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/hods/[id]/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/hods/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/reports/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/admin/settings/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/attendance/[id]/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/attendance/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/classes/[id]/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/classes/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/commands/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/faculty/students/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/hod/classes/[id]/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/hod/classes/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/hod/faculty/[id]/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/hod/faculty/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/hod/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/hod/reports/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/layout.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/leave/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/leave/requests/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/page.tsx","required-active-runtime"
"Attendace_system-main/app/(dashboard)/student/page.tsx","required-active-runtime"
"Attendace_system-main/app/api/leave/[[...path]]/route.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/_lib.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/balance/route.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/health/route.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/requests/[id]/approve/route.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/requests/[id]/cancel/route.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/requests/[id]/reject/route.ts","required-active-runtime"
"Attendace_system-main/app/api/leave/requests/route.ts","required-active-runtime"
"Attendace_system-main/app/api/webhook/whatsapp/route.ts","required-active-runtime"
"Attendace_system-main/app/dashboard/page.tsx","required-active-runtime"
"Attendace_system-main/app/favicon.ico","required-active-runtime"
"Attendace_system-main/app/globals.css","required-active-runtime"
"Attendace_system-main/app/layout.tsx","required-active-runtime"
"Attendace_system-main/app/login/page.tsx","required-active-runtime"
"Attendace_system-main/app/page.tsx","required-active-runtime"
"Attendace_system-main/ARCHITECTURE.md","optional-documentation"
"Attendace_system-main/components.json","required-build-config"
"Attendace_system-main/components/add-student-dialog.tsx","candidate-unused-code"
"Attendace_system-main/components/bulk-create-student-accounts.tsx","candidate-unused-code"
"Attendace_system-main/components/create-class-dialog.tsx","candidate-unused-code"
"Attendace_system-main/components/create-faculty-dialog.tsx","required-active-runtime"
"Attendace_system-main/components/create-hod-dialog.tsx","required-active-runtime"
"Attendace_system-main/components/header.tsx","required-active-runtime"
"Attendace_system-main/components/leave-requests-client.tsx","required-active-runtime"
"Attendace_system-main/components/login-form.tsx","required-active-runtime"
"Attendace_system-main/components/role-selector.tsx","required-active-runtime"
"Attendace_system-main/components/sidebar.tsx","required-active-runtime"
"Attendace_system-main/components/sonner.tsx","candidate-unused-code"
"Attendace_system-main/components/stats-card.tsx","required-active-runtime"
"Attendace_system-main/components/ui/alert-dialog.tsx","required-active-runtime"
"Attendace_system-main/components/ui/badge.tsx","required-active-runtime"
"Attendace_system-main/components/ui/button.tsx","required-active-runtime"
"Attendace_system-main/components/ui/card.tsx","required-active-runtime"
"Attendace_system-main/components/ui/dialog.tsx","required-active-runtime"
"Attendace_system-main/components/ui/dropdown-menu.tsx","required-active-runtime"
"Attendace_system-main/components/ui/input.tsx","required-active-runtime"
"Attendace_system-main/components/ui/label.tsx","required-active-runtime"
"Attendace_system-main/components/ui/progress.tsx","required-active-runtime"
"Attendace_system-main/components/ui/scroll-area.tsx","required-active-runtime"
"Attendace_system-main/components/ui/select.tsx","required-active-runtime"
"Attendace_system-main/components/ui/sonner.tsx","required-active-runtime"
"Attendace_system-main/components/ui/table.tsx","required-active-runtime"
"Attendace_system-main/components/upload-students-dialog.tsx","candidate-unused-code"
"Attendace_system-main/components/users-table.tsx","required-active-runtime"
"Attendace_system-main/components/whatsapp-icon.tsx","required-active-runtime"
"Attendace_system-main/DEPLOYMENT_CHECKLIST.md","optional-documentation"
"Attendace_system-main/DEPLOYMENT_SUCCESS.md","optional-documentation"
"Attendace_system-main/eslint.config.mjs","required-build-config"
"Attendace_system-main/lib/admin.ts","required-active-runtime"
"Attendace_system-main/lib/client.ts","required-active-runtime"
"Attendace_system-main/lib/database.ts","required-active-runtime"
"Attendace_system-main/lib/faculty.ts","required-active-runtime"
"Attendace_system-main/lib/leave-domain-common.ts","required-active-runtime"
"Attendace_system-main/lib/leave-module-shared.ts","required-active-runtime"
"Attendace_system-main/lib/middleware.ts","required-active-runtime"
"Attendace_system-main/lib/route-handlers.ts","candidate-unused-code"
"Attendace_system-main/lib/server.ts","required-active-runtime"
"Attendace_system-main/lib/student-attendance.ts","required-active-runtime"
"Attendace_system-main/lib/student-auth.ts","required-active-runtime"
"Attendace_system-main/lib/student-logout.ts","required-active-runtime"
"Attendace_system-main/lib/supabase-admin.ts","required-active-runtime"
"Attendace_system-main/lib/utils.ts","required-active-runtime"
"Attendace_system-main/middleware.ts","required-build-config"
"Attendace_system-main/next.config.ts","required-build-config"
"Attendace_system-main/next-env.d.ts","required-build-config"
"Attendace_system-main/package.json","required-build-config"
"Attendace_system-main/package-lock.json","required-build-config"
"Attendace_system-main/postcss.config.mjs","required-build-config"
"Attendace_system-main/public/file.svg","required-static-assets"
"Attendace_system-main/public/globe.svg","required-static-assets"
"Attendace_system-main/public/next.svg","required-static-assets"
"Attendace_system-main/public/vercel.svg","required-static-assets"
"Attendace_system-main/public/window.svg","required-static-assets"
"Attendace_system-main/QUICK_DIAGNOSIS.sql","optional-db-diagnostic"
"Attendace_system-main/README.md","optional-documentation"
"Attendace_system-main/scripts/001_create_schema.sql","optional-db-migration-or-diagnostic"
"Attendace_system-main/scripts/002_enable_rls.sql","optional-db-migration-or-diagnostic"
